Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,GASOLINA CORRIENTE OXIGENADA,9860,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.69921, -74.02878)",4.69921,-74.02878
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,BIODIESEL EXTRA,9780,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.69921, -74.02878)",4.69921,-74.02878
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,GASOLINA EXTRA OXIGENADA,17250,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.69921, -74.02878)",4.69921,-74.02878
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ROXI,MOBIL,Carrera 24  No 7-11,GASOLINA EXTRA OXIGENADA,16860,A,Carrera 24  No 7-11,"Carrera 24  No 7-11, Bogota  d.c., Colombia","(4.60425, -74.09239)",4.60425,-74.09239
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ROXI,MOBIL,Carrera 24  No 7-11,BIODIESEL EXTRA,9145,A,Carrera 24  No 7-11,"Carrera 24  No 7-11, Bogota  d.c., Colombia","(4.60425, -74.09239)",4.60425,-74.09239
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ROXI,MOBIL,Carrera 24  No 7-11,GASOLINA CORRIENTE OXIGENADA,9398,A,Carrera 24  No 7-11,"Carrera 24  No 7-11, Bogota  d.c., Colombia","(4.60425, -74.09239)",4.60425,-74.09239
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO ESSO SANTA ISABEL,MOBIL,Avenida Carrera 30 # 2 - 38,BIODIESEL EXTRA,9034,A,Avenida Carrera 30 No 2 - 38,"Avenida Carrera 30 # 2 - 38, Bogota  d.c., Colombia","('NA', 'NA')",Empty,Empty
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO ESSO SANTA ISABEL,MOBIL,Avenida Carrera 30 # 2 - 38,GASOLINA CORRIENTE OXIGENADA,9517,A,Avenida Carrera 30 No 2 - 38,"Avenida Carrera 30 # 2 - 38, Bogota  d.c., Colombia","('NA', 'NA')",Empty,Empty
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO COMBUSCOL - OCCIDENTE,MOBIL,Carrera 96H N. 17 - 25,GASOLINA CORRIENTE OXIGENADA,9560,A,Carrera 96H N. 17 - 25,"Carrera 96H N. 17 - 25, Bogota  d.c., Colombia","(4.67007, -74.14334)",4.67007,-74.14334
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO COMBUSCOL - OCCIDENTE,MOBIL,Carrera 96H N. 17 - 25,BIODIESEL EXTRA,10210,A,Carrera 96H N. 17 - 25,"Carrera 96H N. 17 - 25, Bogota  d.c., Colombia","(4.67007, -74.14334)",4.67007,-74.14334
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,TEXACO 38 ESTACIÓN DE SERVICIO CALLE 50,TEXACO,CRA 17 # 50-42,GASOLINA EXTRA OXIGENADA,12310,A,CRA 17 No 50-42,"CRA 17 # 50-42, Bogota  d.c., Colombia","('NA', 'NA')",Empty,Empty
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,TEXACO 38 ESTACIÓN DE SERVICIO CALLE 50,TEXACO,CRA 17 # 50-42,GASOLINA CORRIENTE OXIGENADA,9370,A,CRA 17 No 50-42,"CRA 17 # 50-42, Bogota  d.c., Colombia","('NA', 'NA')",Empty,Empty
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,TEXACO 38 ESTACIÓN DE SERVICIO CALLE 50,TEXACO,CRA 17 # 50-42,BIODIESEL EXTRA,9150,A,CRA 17 No 50-42,"CRA 17 # 50-42, Bogota  d.c., Colombia","('NA', 'NA')",Empty,Empty
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO TEXACO MATATIGRES,TEXACO,CARRERA 27 NO. 30 - 06 SUR,BIODIESEL EXTRA,9149,A,CARRERA 27 NO. 30 - 06 SUR,"CARRERA 27 NO. 30 - 06 SUR, Bogota  d.c., Colombia","(4.6015, -74.12433)",4.6015,-74.12433
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO TEXACO MATATIGRES,TEXACO,CARRERA 27 NO. 30 - 06 SUR,GASOLINA CORRIENTE OXIGENADA,9373,A,CARRERA 27 NO. 30 - 06 SUR,"CARRERA 27 NO. 30 - 06 SUR, Bogota  d.c., Colombia","(4.6015, -74.12433)",4.6015,-74.12433
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO ESSO AVENIDA TERCERA,MOBIL,CARRERA 3 No. 20-20,BIODIESEL EXTRA,10490,A,CARRERA 3 No. 20-20,"CARRERA 3 No. 20-20, Bogota  d.c., Colombia","(4.6043, -74.06738)",4.6043,-74.06738
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO ESSO AVENIDA TERCERA,MOBIL,CARRERA 3 No. 20-20,GASOLINA EXTRA OXIGENADA,15940,A,CARRERA 3 No. 20-20,"CARRERA 3 No. 20-20, Bogota  d.c., Colombia","(4.6043, -74.06738)",4.6043,-74.06738
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO ESSO AVENIDA TERCERA,MOBIL,CARRERA 3 No. 20-20,GASOLINA CORRIENTE OXIGENADA,9230,A,CARRERA 3 No. 20-20,"CARRERA 3 No. 20-20, Bogota  d.c., Colombia","(4.6043, -74.06738)",4.6043,-74.06738
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION JUAN MARTIN,TERPEL,CARRERA 28 A No. 67 - 83,BIODIESEL EXTRA,9150,A,CARRERA 28 A No. 67 - 83,"CARRERA 28 A No. 67 - 83, Bogota  d.c., Colombia","(4.66158, -74.07353)",4.66158,-74.07353
